date,n_users,unadj_prev,adj_prev,adj_prev_ci_low,adj_prev_ci_high
2020-05-20,81892,0.00666516097781864,0.00655753017213601,0.00596585378214153,0.0072196115153901
2020-05-21,82157,0.00640675004835639,0.00627428487681179,0.00569750181255569,0.0069204371874303
2020-05-22,82509,0.00626647728201928,0.00615686731903351,0.00558463545404952,0.0067995995661573
2020-05-23,82669,0.00627707986133202,0.00618629360553693,0.00561216436045585,0.00683199925742804
2020-05-24,82617,0.00622790729641004,0.0061598164032138,0.00558593745584615,0.00680537335060337
2020-05-25,82790,0.00598471755432752,0.00590907191439809,0.00534778173729808,0.00654157283081448
2020-05-26,82365,0.0058205223900571,0.00571618866349172,0.00516563742117693,0.00633845147871189
2020-05-27,82018,0.00574436480831028,0.00562123721590631,0.00507525351572777,0.00624009710268292
2020-05-28,81572,0.00570545973212915,0.0056012192792966,0.00505210626687376,0.00622506468790485
2020-05-29,82899,0.00563284795610684,0.00556683211123148,0.0050204351952305,0.00618699984242741
2020-05-30,83487,0.0055642221776873,0.00547151684703886,0.00493451034771551,0.00608077687369617
2020-05-31,83088,0.0053544005131588,0.00524970206305682,0.00472417894423599,0.00584702665101668
2020-06-01,83671,0.00519550826130307,0.00508260449059821,0.00456930902627128,0.00566856836532983
2020-06-02,84299,0.00503747064143647,0.0049301482616085,0.00442738358555116,0.00550571552302374
2020-06-03,84597,0.0049382086062203,0.00488413130534715,0.00438200256365486,0.00545985694642691
2020-06-04,84882,0.00497952332656201,0.00494119962163717,0.00443432643822857,0.00552150404054067
2020-06-05,84908,0.00508159530367543,0.00505822227731683,0.00454289638519405,0.00564742704776054
2020-06-06,88463,0.00520352678359288,0.00517304158123118,0.00466400225185805,0.00575357117378716
2020-06-07,89988,0.00517849368665029,0.00512397166851531,0.00462355588213087,0.00569533818919683
2020-06-08,90507,0.00518211533303368,0.00516795651749547,0.00466479892463656,0.00574043912644312
2020-06-09,90479,0.00509163667464744,0.00509831427626755,0.00459650330310652,0.00567049879815072
2020-06-10,90238,0.00502395186956978,0.0050293208706221,0.00453046149077684,0.00559892220108936
2020-06-11,89888,0.0049887820189276,0.00498853317132442,0.00448987994738274,0.00555840996168757
2020-06-12,89479,0.00489283569288954,0.0048806687373951,0.00438651393339296,0.00544767411561861
2020-06-13,88877,0.00485284735905478,0.0048674163085767,0.00437051769796317,0.00543661770197211
2020-06-14,88221,0.00459952132442376,0.00462098425838885,0.00413413125309374,0.00518089890793466
2020-06-15,87766,0.00451187235097397,0.00453302679260427,0.00404962415361678,0.00509089792635295
2020-06-16,87434,0.00450756873603874,0.00450670302655587,0.00402507736591696,0.00506341285696742
2020-06-17,87052,0.00443305808847243,0.00443657112277169,0.00395893249769775,0.00499133053872551
2020-06-18,86522,0.00433481633157368,0.00436087091707016,0.00388381875963298,0.00491653456558793
2020-06-19,85663,0.00428850583435175,0.00433407606682195,0.00385567631969661,0.00489250570163286
2020-06-20,85154,0.00414457214987085,0.00415864640208493,0.0036905820706058,0.00470726223990423
2020-06-21,85030,0.00402414344665684,0.00409045666326148,0.0036200924755641,0.00464248744955875
2020-06-22,84419,0.00390138320255081,0.00393846628457597,0.00347809519152716,0.00448217404665134
2020-06-23,83995,0.00379859083130585,0.00384762018455781,0.00338930594959358,0.00439016909623037
2020-06-24,83651,0.00369735965708653,0.00374998870086,0.00329600018400159,0.00428769102706737
2020-06-25,83130,0.00345592435616621,0.00351003689127794,0.00306842363257989,0.00403726391767857
2020-06-26,83120,0.00339012550633505,0.00343216810315025,0.00299654681835374,0.00395172911151424
2020-06-27,82831,0.00326744454097501,0.00331495641361274,0.00288453045480129,0.00383280794717927
2020-06-28,82337,0.00321776263840257,0.00323698567758162,0.00281270244091879,0.00374781662496807
2020-06-29,82037,0.00324069233343566,0.00329005345415632,0.00285821273182643,0.00380796710339009
2020-06-30,81804,0.00334739724873635,0.00339509105813099,0.00295388949730528,0.00392468972751531
2020-07-01,81467,0.0034491245460841,0.00348879390976636,0.00304185570836193,0.00402581089032903
2020-07-02,81288,0.00347942884738845,0.00347593160318607,0.0030341329191927,0.00400733425219106
2020-07-03,81695,0.00348525213363964,0.00350110184723872,0.00305669881640089,0.00403566875201346
2020-07-04,81518,0.00355683183648021,0.00355185659916366,0.00310572289312193,0.00408740729297097
2020-07-05,80241,0.0034973521233462,0.00348890667171348,0.00304413092088332,0.00402399979088701
2020-07-06,80004,0.00336848040251228,0.00336574558583897,0.00292768034047282,0.00389708041476755
2020-07-07,79630,0.00336122713304244,0.00334223963053745,0.00290691704661423,0.00387296822644587
2020-07-08,79876,0.00334227511969667,0.00331699951016518,0.00288400418277449,0.00384480538262052
2020-07-09,79558,0.00335431822212261,0.00336234350075668,0.0029224937079923,0.00389624429076024
2020-07-10,78447,0.00331020836616464,0.00331969409807423,0.00287874166853137,0.00385635517490853
2020-07-11,78053,0.00327033403126443,0.00328025307799036,0.00283991744619461,0.00381719102908124
2020-07-12,78697,0.00324824290439378,0.00323913164746008,0.0028050109807675,0.0037713107656943
2020-07-13,78137,0.00318865153885567,0.00313644393257209,0.00271058697270031,0.00366232925358012
2020-07-14,77699,0.00313663126195035,0.00312558564762682,0.00269630132441121,0.00365606573810778
2020-07-15,76495,0.00310200381630252,0.00309444898187099,0.00266385832846787,0.00362420548337519
2020-07-16,76118,0.00294755851164683,0.002953657672382,0.00252665956176168,0.0034822280457244
2020-07-17,75589,0.00281041953411748,0.00278528203398463,0.00237316964735896,0.00329847667407889
2020-07-18,74986,0.00268942270438509,0.00267984538205003,0.00227560001600572,0.00318880013013968
2020-07-19,74575,0.00255722743396918,0.00256002201042924,0.0021622902054344,0.00306392534997527
2020-07-20,74322,0.00255830571193179,0.00254316312537747,0.00214801262843204,0.00304582443135562
2020-07-21,73812,0.00250708329293354,0.00246865190362935,0.0020790626371962,0.002963211757903
2020-07-22,73323,0.00247390267411565,0.00244025956816691,0.00205232788482232,0.00293404361222143
2020-07-23,72975,0.0025026392035184,0.00250196788600355,0.00210553662634854,0.00300666970852048
2020-07-24,72721,0.00257522986594197,0.00259037004192144,0.00218328361168668,0.00310664232710109
2020-07-25,72405,0.00252912836248097,0.00252884297871147,0.00212630251923436,0.00304236479094021
