decade,gender,count
18-19,Female,164
18-19,Male,58
20-29,Female,1847
20-29,Male,842
30-39,Female,1149
30-39,Male,628
40-49,Female,1375
40-49,Male,706
50-59,Female,1202
50-59,Male,713
60-69,Female,796
60-69,Male,523
70-79,Female,331
70-79,Male,339
80-89,Female,15
80-89,Male,45
90-99,Female,1
