Lan,Datum,Uppskattning,Low_CI,High_CI
Jönköping,2021-01-28,0.48,0.09,1.82
Kalmar,2021-01-28,0.42,0.05,2.65
Kronoberg,2021-01-28,0.33,0.02,2.38
Norrbotten,2021-01-28,0.46,0.03,3.17
Örebro,2021-01-28,0.35,0.02,2.96
Östergötland,2021-01-28,0.42,0.08,1.59
Skåne,2021-01-28,0.42,0.27,0.66
Södermanland,2021-01-28,0.48,0.08,2.51
Stockholm,2021-01-28,0.5,0.32,0.76
Uppsala,2021-01-28,0.39,0.15,0.92
Värmland,2021-01-28,0.34,0.05,1.67
Västerbotten,2021-01-28,0.47,0.03,2.47
Västernorrland,2021-01-28,0.3,0.02,2.56
Västmanland,2021-01-28,0.26,0.01,2.16
Västra Götaland,2021-01-28,0.37,0.21,0.66
Blekinge,2021-01-29,0.21,0,2.08
Dalarna,2021-01-29,0.31,0.01,2.31
Gävleborg,2021-01-29,0.43,0.08,2.22
Gotland,2021-01-29,,,
Halland,2021-01-29,0.35,0.06,1.5
Jämtland,2021-01-29,0.47,0,4.64
Jönköping,2021-01-29,0.44,0.09,1.74
Kalmar,2021-01-29,0.4,0.05,2.67
Kronoberg,2021-01-29,0.29,0.01,2.4
Norrbotten,2021-01-29,0.49,0.05,3.17
Örebro,2021-01-29,0.34,0.02,2.89
Östergötland,2021-01-29,0.47,0.1,1.65
Skåne,2021-01-29,0.42,0.27,0.66
Södermanland,2021-01-29,0.39,0.04,2.37
Stockholm,2021-01-29,0.49,0.32,0.75
Uppsala,2021-01-29,0.4,0.16,0.93
Värmland,2021-01-29,0.37,0.05,1.71
Västerbotten,2021-01-29,0.47,0.04,2.35
Västernorrland,2021-01-29,0.29,0.02,2.56
Västmanland,2021-01-29,0.31,0.03,2.14
Västra Götaland,2021-01-29,0.36,0.2,0.65
Blekinge,2021-01-30,0.27,0.01,2.19
Dalarna,2021-01-30,0.33,0.01,2.39
Gävleborg,2021-01-30,0.47,0.09,2.22
Gotland,2021-01-30,,,
Halland,2021-01-30,0.28,0.04,1.35
Jämtland,2021-01-30,0.45,0,4.3
Jönköping,2021-01-30,0.44,0.08,1.75
Kalmar,2021-01-30,0.44,0.05,2.74
Kronoberg,2021-01-30,0.27,0.01,2.4
Norrbotten,2021-01-30,0.51,0.06,3.25
Örebro,2021-01-30,0.38,0.02,2.94
Östergötland,2021-01-30,0.39,0.06,1.54
Skåne,2021-01-30,0.4,0.25,0.63
Södermanland,2021-01-30,0.38,0.04,2.37
Stockholm,2021-01-30,0.49,0.32,0.75
Uppsala,2021-01-30,0.38,0.15,0.9
Värmland,2021-01-30,0.41,0.06,1.79
Västerbotten,2021-01-30,0.46,0.04,2.33
Västernorrland,2021-01-30,0.3,0.01,2.82
Västmanland,2021-01-30,0.27,0.02,2.2
Västra Götaland,2021-01-30,0.36,0.2,0.64
Blekinge,2021-01-31,0.28,0.01,2.17
Dalarna,2021-01-31,0.34,0.01,2.43
Gävleborg,2021-01-31,0.37,0.06,2.1
Gotland,2021-01-31,,,
Halland,2021-01-31,0.33,0.05,1.42
Jämtland,2021-01-31,0.44,0,4.45
Jönköping,2021-01-31,0.44,0.08,1.78
Kalmar,2021-01-31,0.4,0.05,2.66
Kronoberg,2021-01-31,0.3,0.01,2.47
Norrbotten,2021-01-31,0.44,0.04,3.37
Örebro,2021-01-31,0.39,0.02,2.98
Östergötland,2021-01-31,0.37,0.06,1.48
Skåne,2021-01-31,0.44,0.28,0.68
Södermanland,2021-01-31,0.41,0.05,2.4
Stockholm,2021-01-31,0.47,0.3,0.72
Uppsala,2021-01-31,0.4,0.16,0.93
Värmland,2021-01-31,0.41,0.06,1.87
Västerbotten,2021-01-31,0.32,0.01,2.09
Västernorrland,2021-01-31,0.41,0.03,3.11
Västmanland,2021-01-31,0.26,0.02,2.06
Västra Götaland,2021-01-31,0.34,0.19,0.63
Blekinge,2021-02-01,0.18,0,1.93
Dalarna,2021-02-01,0.33,0.01,2.47
Gävleborg,2021-02-01,0.51,0.09,2.31
Gotland,2021-02-01,,,
Halland,2021-02-01,0.36,0.06,1.45
Jämtland,2021-02-01,0.39,0,4.41
Jönköping,2021-02-01,0.4,0.06,1.79
Kalmar,2021-02-01,0.31,0.03,2.51
Kronoberg,2021-02-01,0.38,0.02,2.61
Norrbotten,2021-02-01,0.62,0.07,3.51
Örebro,2021-02-01,0.32,0.01,2.86
Östergötland,2021-02-01,0.4,0.07,1.51
Skåne,2021-02-01,0.43,0.27,0.67
Södermanland,2021-02-01,0.36,0.05,2.37
Stockholm,2021-02-01,0.47,0.3,0.72
Uppsala,2021-02-01,0.48,0.2,1.04
Värmland,2021-02-01,0.29,0.04,1.61
Västerbotten,2021-02-01,0.35,0.02,2.18
Västernorrland,2021-02-01,0.39,0.04,3.12
Västmanland,2021-02-01,0.29,0.02,2.01
Västra Götaland,2021-02-01,0.36,0.2,0.65
Blekinge,2021-02-02,0.18,0,1.95
Dalarna,2021-02-02,0.33,0.01,2.47
Gävleborg,2021-02-02,0.49,0.09,2.26
Gotland,2021-02-02,,,
Halland,2021-02-02,0.39,0.08,1.47
Jämtland,2021-02-02,0.18,0,4.09
Jönköping,2021-02-02,0.46,0.08,1.94
Kalmar,2021-02-02,0.28,0.02,2.52
Kronoberg,2021-02-02,0.41,0.03,2.54
Norrbotten,2021-02-02,0.67,0.08,3.65
Örebro,2021-02-02,0.29,0.01,2.81
Östergötland,2021-02-02,0.4,0.07,1.48
Skåne,2021-02-02,0.44,0.28,0.68
Södermanland,2021-02-02,0.44,0.08,2.56
Stockholm,2021-02-02,0.47,0.31,0.72
Uppsala,2021-02-02,0.4,0.16,0.93
Värmland,2021-02-02,0.34,0.04,1.73
Västerbotten,2021-02-02,0.34,0.02,2.11
Västernorrland,2021-02-02,0.47,0.04,3.13
Västmanland,2021-02-02,0.47,0.04,2.3
Västra Götaland,2021-02-02,0.36,0.2,0.65
Blekinge,2021-02-03,0.18,0,2.01
Dalarna,2021-02-03,0.35,0.01,2.49
Gävleborg,2021-02-03,0.39,0.07,2.09
Gotland,2021-02-03,,,
Halland,2021-02-03,0.51,0.14,1.64
Jämtland,2021-02-03,0.15,0,4.06
Jönköping,2021-02-03,0.41,0.06,1.95
Kalmar,2021-02-03,0.24,0.01,2.49
Kronoberg,2021-02-03,0.43,0.03,2.54
Norrbotten,2021-02-03,0.69,0.08,3.71
Örebro,2021-02-03,0.25,0.01,2.73
Östergötland,2021-02-03,0.4,0.07,1.49
Skåne,2021-02-03,0.42,0.26,0.67
Södermanland,2021-02-03,0.41,0.05,2.58
Stockholm,2021-02-03,0.5,0.33,0.75
Uppsala,2021-02-03,0.37,0.14,0.89
Värmland,2021-02-03,0.41,0.07,1.77
Västerbotten,2021-02-03,0.33,0.02,2.07
Västernorrland,2021-02-03,0.54,0.04,3.27
Västmanland,2021-02-03,0.3,0.03,1.99
Västra Götaland,2021-02-03,0.39,0.22,0.69
Blekinge,2021-02-04,0.16,0,1.97
Dalarna,2021-02-04,0.35,0.01,2.61
Gävleborg,2021-02-04,0.45,0.09,2.14
Gotland,2021-02-04,,,
Halland,2021-02-04,0.49,0.13,1.6
Jämtland,2021-02-04,0.16,0,4.24
Jönköping,2021-02-04,0.37,0.04,1.99
Kalmar,2021-02-04,0.26,0.01,2.41
Kronoberg,2021-02-04,0.43,0.03,2.58
Norrbotten,2021-02-04,0.87,0.1,4.21
Örebro,2021-02-04,0.21,0.01,2.76
Östergötland,2021-02-04,0.42,0.08,1.53
Skåne,2021-02-04,0.42,0.26,0.66
Södermanland,2021-02-04,0.45,0.05,2.67
Stockholm,2021-02-04,0.48,0.31,0.73
Uppsala,2021-02-04,0.37,0.15,0.88
Värmland,2021-02-04,0.43,0.08,1.84
Västerbotten,2021-02-04,0.36,0.03,2.09
Västernorrland,2021-02-04,0.5,0.03,3.1
Västmanland,2021-02-04,0.29,0.03,1.98
Västra Götaland,2021-02-04,0.38,0.21,0.67
Blekinge,2021-02-05,0.17,0,2.02
Dalarna,2021-02-05,0.32,0.01,2.48
Gävleborg,2021-02-05,0.4,0.08,2.08
Gotland,2021-02-05,,,
Halland,2021-02-05,0.47,0.11,1.61
Jämtland,2021-02-05,0.15,0,4.42
Jönköping,2021-02-05,0.4,0.05,2
Kalmar,2021-02-05,0.22,0.01,2.28
Kronoberg,2021-02-05,0.52,0.06,2.71
Norrbotten,2021-02-05,0.82,0.07,4.37
Örebro,2021-02-05,0.22,0.01,2.83
Östergötland,2021-02-05,0.34,0.05,1.43
Skåne,2021-02-05,0.37,0.22,0.6
Södermanland,2021-02-05,0.46,0.06,2.71
Stockholm,2021-02-05,0.5,0.32,0.76
Uppsala,2021-02-05,0.32,0.12,0.83
Värmland,2021-02-05,0.46,0.1,1.88
Västerbotten,2021-02-05,0.37,0.03,2.14
Västernorrland,2021-02-05,0.45,0.02,3.08
Västmanland,2021-02-05,0.32,0.04,2.07
Västra Götaland,2021-02-05,0.37,0.21,0.67
Blekinge,2021-02-06,0.16,0,1.94
Dalarna,2021-02-06,0.2,0.01,2.33
Gävleborg,2021-02-06,0.33,0.05,2.1
Gotland,2021-02-06,,,
Halland,2021-02-06,0.41,0.09,1.5
Jämtland,2021-02-06,0.17,0,4.64
Jönköping,2021-02-06,0.5,0.06,2.16
Kalmar,2021-02-06,0.2,0,2.28
Kronoberg,2021-02-06,0.48,0.05,2.58
Norrbotten,2021-02-06,0.82,0.07,4.37
Örebro,2021-02-06,0.27,0.01,2.77
Östergötland,2021-02-06,0.38,0.06,1.54
Skåne,2021-02-06,0.38,0.23,0.62
Södermanland,2021-02-06,0.46,0.06,2.54
Stockholm,2021-02-06,0.51,0.33,0.77
Uppsala,2021-02-06,0.31,0.1,0.82
Värmland,2021-02-06,0.45,0.09,1.86
Västerbotten,2021-02-06,0.34,0.02,2.12
Västernorrland,2021-02-06,0.28,0.01,2.76
Västmanland,2021-02-06,0.28,0.02,2.02
Västra Götaland,2021-02-06,0.37,0.21,0.67
Blekinge,2021-02-07,0.13,0,1.92
Dalarna,2021-02-07,0.18,0.01,2.22
Gävleborg,2021-02-07,0.32,0.05,2.08
Gotland,2021-02-07,,,
Halland,2021-02-07,0.44,0.1,1.56
Jämtland,2021-02-07,0.17,0,4.86
Jönköping,2021-02-07,0.49,0.06,2.14
Kalmar,2021-02-07,0.18,0,2.19
Kronoberg,2021-02-07,0.45,0.04,2.59
Norrbotten,2021-02-07,0.81,0.07,4.35
Örebro,2021-02-07,0.24,0.01,2.74
Östergötland,2021-02-07,0.38,0.06,1.57
Skåne,2021-02-07,0.36,0.22,0.59
Södermanland,2021-02-07,0.41,0.06,2.49
Stockholm,2021-02-07,0.52,0.34,0.79
Uppsala,2021-02-07,0.34,0.13,0.87
Värmland,2021-02-07,0.49,0.1,1.9
Västerbotten,2021-02-07,0.31,0.02,2.04
Västernorrland,2021-02-07,0.32,0.01,2.69
Västmanland,2021-02-07,0.27,0.02,2.13
Västra Götaland,2021-02-07,0.4,0.22,0.7
Blekinge,2021-02-08,0.14,0,1.98
Dalarna,2021-02-08,0.18,0.01,2.09
Gävleborg,2021-02-08,0.28,0.03,2.11
Gotland,2021-02-08,,,
Halland,2021-02-08,0.34,0.06,1.47
Jämtland,2021-02-08,0.18,0,4.65
Jönköping,2021-02-08,0.48,0.06,2.08
Kalmar,2021-02-08,0.22,0.01,2.25
Kronoberg,2021-02-08,0.4,0.02,2.54
Norrbotten,2021-02-08,0.92,0.09,4.62
Örebro,2021-02-08,0.35,0.01,2.94
Östergötland,2021-02-08,0.36,0.05,1.54
Skåne,2021-02-08,0.36,0.22,0.58
Södermanland,2021-02-08,0.41,0.05,2.59
Stockholm,2021-02-08,0.5,0.32,0.77
Uppsala,2021-02-08,0.38,0.15,0.91
Värmland,2021-02-08,0.38,0.06,1.79
Västerbotten,2021-02-08,0.33,0.02,2.05
Västernorrland,2021-02-08,0.31,0.01,2.73
Västmanland,2021-02-08,0.31,0.02,2.18
Västra Götaland,2021-02-08,0.39,0.22,0.69
Blekinge,2021-02-09,0.16,0,2.08
Dalarna,2021-02-09,0.18,0.01,2.18
Gävleborg,2021-02-09,0.32,0.03,2.07
Gotland,2021-02-09,,,
Halland,2021-02-09,0.35,0.06,1.48
Jämtland,2021-02-09,0.17,0,4.64
Jönköping,2021-02-09,0.42,0.05,1.96
Kalmar,2021-02-09,0.2,0,2.33
Kronoberg,2021-02-09,0.44,0.03,2.69
Norrbotten,2021-02-09,0.78,0.07,4.25
Örebro,2021-02-09,0.39,0.01,2.92
Östergötland,2021-02-09,0.34,0.04,1.56
Skåne,2021-02-09,0.37,0.22,0.6
Södermanland,2021-02-09,0.42,0.05,2.6
Stockholm,2021-02-09,0.51,0.33,0.78
Uppsala,2021-02-09,0.38,0.15,0.93
Värmland,2021-02-09,0.42,0.07,1.91
Västerbotten,2021-02-09,0.44,0.05,2.19
Västernorrland,2021-02-09,0.36,0.03,2.77
Västmanland,2021-02-09,0.33,0.02,2.33
Västra Götaland,2021-02-09,0.39,0.21,0.69
Blekinge,2021-02-10,0.17,0,2.17
Dalarna,2021-02-10,0.18,0.01,2.27
Gävleborg,2021-02-10,0.39,0.05,2.18
Gotland,2021-02-10,,,
Halland,2021-02-10,0.31,0.05,1.4
Jämtland,2021-02-10,0.33,0.01,4.64
Jönköping,2021-02-10,0.49,0.07,2.06
Kalmar,2021-02-10,0.18,0,2.45
Kronoberg,2021-02-10,0.42,0.05,2.81
Norrbotten,2021-02-10,0.77,0.07,4.24
Örebro,2021-02-10,0.4,0.02,2.95
Östergötland,2021-02-10,0.35,0.04,1.59
Skåne,2021-02-10,0.37,0.22,0.6
Södermanland,2021-02-10,0.4,0.05,2.61
Stockholm,2021-02-10,0.54,0.35,0.81
Uppsala,2021-02-10,0.38,0.14,0.92
Värmland,2021-02-10,0.45,0.07,2.02
Västerbotten,2021-02-10,0.43,0.04,2.19
Västernorrland,2021-02-10,0.29,0.01,2.69
Västmanland,2021-02-10,0.31,0.02,2.3
Västra Götaland,2021-02-10,0.36,0.2,0.66
Blekinge,2021-02-11,0.22,0,2.26
Dalarna,2021-02-11,0.21,0.01,2.45
Gävleborg,2021-02-11,0.33,0.04,2.07
Gotland,2021-02-11,,,
Halland,2021-02-11,0.3,0.04,1.42
Jämtland,2021-02-11,0.32,0.01,4.45
Jönköping,2021-02-11,0.66,0.13,2.31
Kalmar,2021-02-11,0.15,0,2.54
Kronoberg,2021-02-11,0.48,0.05,2.8
Norrbotten,2021-02-11,0.54,0.05,3.81
Örebro,2021-02-11,0.47,0.03,2.91
Östergötland,2021-02-11,0.38,0.04,1.67
Skåne,2021-02-11,0.36,0.22,0.6
Södermanland,2021-02-11,0.49,0.08,2.73
Stockholm,2021-02-11,0.51,0.33,0.78
Uppsala,2021-02-11,0.34,0.12,0.87
Värmland,2021-02-11,0.44,0.06,1.97
Västerbotten,2021-02-11,0.44,0.04,2.22
Västernorrland,2021-02-11,0.34,0.02,2.66
Västmanland,2021-02-11,0.26,0.01,2.2
Västra Götaland,2021-02-11,0.36,0.2,0.66
Blekinge,2021-02-12,0.17,0,2.19
Dalarna,2021-02-12,0.22,0.01,2.42
Gävleborg,2021-02-12,0.29,0.02,2.02
Gotland,2021-02-12,,,
Halland,2021-02-12,0.37,0.06,1.52
Jämtland,2021-02-12,0.29,0.01,4.39
Jönköping,2021-02-12,0.67,0.13,2.34
Kalmar,2021-02-12,0.16,0,2.69
Kronoberg,2021-02-12,0.44,0.03,2.78
Norrbotten,2021-02-12,0.52,0.05,3.6
Örebro,2021-02-12,0.49,0.04,2.96
Östergötland,2021-02-12,0.37,0.04,1.64
Skåne,2021-02-12,0.35,0.21,0.58
Södermanland,2021-02-12,0.46,0.06,2.62
Stockholm,2021-02-12,0.49,0.32,0.76
Uppsala,2021-02-12,0.37,0.14,0.92
Värmland,2021-02-12,0.48,0.07,2.05
Västerbotten,2021-02-12,0.44,0.04,2.22
Västernorrland,2021-02-12,0.33,0.01,2.65
Västmanland,2021-02-12,0.25,0.01,2.29
Västra Götaland,2021-02-12,0.36,0.2,0.66
Blekinge,2021-02-13,0.2,0,2.22
Dalarna,2021-02-13,0.19,0,2.34
Gävleborg,2021-02-13,0.29,0.03,2.01
Gotland,2021-02-13,,,
Halland,2021-02-13,0.37,0.07,1.55
Jämtland,2021-02-13,0.27,0.01,4.21
Jönköping,2021-02-13,0.54,0.09,2.14
Kalmar,2021-02-13,0.13,0,2.71
Kronoberg,2021-02-13,0.44,0.03,2.92
Norrbotten,2021-02-13,0.54,0.06,3.62
Örebro,2021-02-13,0.52,0.04,3.04
Östergötland,2021-02-13,0.38,0.05,1.68
Skåne,2021-02-13,0.34,0.21,0.57
Södermanland,2021-02-13,0.58,0.07,3.04
Stockholm,2021-02-13,0.47,0.29,0.73
Uppsala,2021-02-13,0.33,0.12,0.87
Värmland,2021-02-13,0.42,0.05,1.95
Västerbotten,2021-02-13,0.45,0.04,2.3
Västernorrland,2021-02-13,0.46,0.03,2.9
Västmanland,2021-02-13,0.23,0.01,2.31
Västra Götaland,2021-02-13,0.43,0.24,0.75
Blekinge,2021-02-14,0.17,0,2.09
Dalarna,2021-02-14,0.25,0.01,2.48
Gävleborg,2021-02-14,0.31,0.03,2.04
Gotland,2021-02-14,,,
Halland,2021-02-14,0.33,0.05,1.5
Jämtland,2021-02-14,0.28,0.01,4.38
Jönköping,2021-02-14,0.58,0.11,2.18
Kalmar,2021-02-14,0.17,0,2.68
Kronoberg,2021-02-14,0.48,0.03,3.08
Norrbotten,2021-02-14,0.52,0.05,3.6
Örebro,2021-02-14,0.52,0.04,3.02
Östergötland,2021-02-14,0.34,0.04,1.57
Skåne,2021-02-14,0.33,0.2,0.55
Södermanland,2021-02-14,0.38,0.03,2.72
Stockholm,2021-02-14,0.45,0.28,0.71
Uppsala,2021-02-14,0.33,0.12,0.86
Värmland,2021-02-14,0.46,0.06,2.06
Västerbotten,2021-02-14,0.46,0.04,2.38
Västernorrland,2021-02-14,0.46,0.03,2.94
Västmanland,2021-02-14,0.27,0.01,2.27
Västra Götaland,2021-02-14,0.41,0.23,0.74
Blekinge,2021-02-15,0.14,0,1.99
Dalarna,2021-02-15,0.31,0.01,2.68
Gävleborg,2021-02-15,0.42,0.04,2.18
Gotland,2021-02-15,,,
Halland,2021-02-15,0.49,0.11,1.69
Jämtland,2021-02-15,0.44,0.01,4.36
Jönköping,2021-02-15,0.62,0.1,2.29
Kalmar,2021-02-15,0.21,0,2.84
Kronoberg,2021-02-15,0.54,0.06,2.98
Norrbotten,2021-02-15,0.62,0.04,3.69
Örebro,2021-02-15,0.41,0.04,2.81
Östergötland,2021-02-15,0.36,0.05,1.58
Skåne,2021-02-15,0.34,0.2,0.56
Södermanland,2021-02-15,0.42,0.04,2.53
Stockholm,2021-02-15,0.49,0.31,0.75
Uppsala,2021-02-15,0.36,0.13,0.9
Värmland,2021-02-15,0.44,0.06,2.01
Västerbotten,2021-02-15,0.43,0.03,2.32
Västernorrland,2021-02-15,0.48,0.03,2.88
Västmanland,2021-02-15,0.22,0.01,2.22
Västra Götaland,2021-02-15,0.4,0.22,0.72
Blekinge,2021-02-16,0.19,0.01,1.84
Dalarna,2021-02-16,0.36,0.04,2.64
Gävleborg,2021-02-16,0.42,0.06,2.12
Gotland,2021-02-16,,,
Halland,2021-02-16,0.43,0.1,1.52
Jämtland,2021-02-16,0.35,0,4.08
Jönköping,2021-02-16,0.54,0.09,2.1
Kalmar,2021-02-16,0.2,0,2.34
Kronoberg,2021-02-16,0.5,0.06,2.61
Norrbotten,2021-02-16,0.61,0.08,3.27
Örebro,2021-02-16,0.42,0.05,2.63
Östergötland,2021-02-16,0.45,0.1,1.6
Skåne,2021-02-16,0.35,0.22,0.56
Södermanland,2021-02-16,0.72,0.12,2.79
Stockholm,2021-02-16,0.51,0.34,0.75
Uppsala,2021-02-16,0.34,0.12,0.84
Värmland,2021-02-16,0.38,0.07,1.63
Västerbotten,2021-02-16,0.37,0.03,2.08
Västernorrland,2021-02-16,0.62,0.08,2.86
Västmanland,2021-02-16,0.22,0.01,2.08
Västra Götaland,2021-02-16,0.47,0.27,0.79
Blekinge,2021-02-17,0.24,0.01,1.86
Dalarna,2021-02-17,0.36,0.03,2.66
Gävleborg,2021-02-17,0.41,0.07,2.08
Gotland,2021-02-17,,,
Halland,2021-02-17,0.38,0.08,1.46
Jämtland,2021-02-17,0.36,0,4.24
Jönköping,2021-02-17,0.5,0.08,1.99
Kalmar,2021-02-17,0.2,0.01,2.25
Kronoberg,2021-02-17,0.51,0.06,2.63
Norrbotten,2021-02-17,0.71,0.13,3.38
Örebro,2021-02-17,0.4,0.05,2.45
Östergötland,2021-02-17,0.46,0.1,1.59
Skåne,2021-02-17,0.36,0.22,0.57
Södermanland,2021-02-17,0.7,0.13,2.67
Stockholm,2021-02-17,0.51,0.34,0.75
Uppsala,2021-02-17,0.34,0.13,0.83
Värmland,2021-02-17,0.32,0.06,1.52
Västerbotten,2021-02-17,0.38,0.03,2.06
Västernorrland,2021-02-17,0.65,0.09,2.83
Västmanland,2021-02-17,0.25,0.01,2.09
Västra Götaland,2021-02-17,0.46,0.28,0.77
Blekinge,2021-02-18,0.19,0.01,1.78
Dalarna,2021-02-18,0.41,0.04,2.62
Gävleborg,2021-02-18,0.43,0.08,2.08
Gotland,2021-02-18,,,
Halland,2021-02-18,0.36,0.07,1.44
Jämtland,2021-02-18,0.36,0,4.22
Jönköping,2021-02-18,0.52,0.09,1.97
Kalmar,2021-02-18,0.28,0.01,2.3
Kronoberg,2021-02-18,0.4,0.04,2.48
Norrbotten,2021-02-18,0.67,0.11,3.34
Örebro,2021-02-18,0.41,0.05,2.47
Östergötland,2021-02-18,0.46,0.11,1.56
Skåne,2021-02-18,0.36,0.23,0.57
Södermanland,2021-02-18,0.63,0.12,2.59
Stockholm,2021-02-18,0.52,0.35,0.76
Uppsala,2021-02-18,0.38,0.15,0.9
Värmland,2021-02-18,0.39,0.07,1.65
Västerbotten,2021-02-18,0.37,0.03,1.97
Västernorrland,2021-02-18,0.66,0.1,2.86
Västmanland,2021-02-18,0.25,0.02,2.06
Västra Götaland,2021-02-18,0.45,0.27,0.75
Blekinge,2021-02-19,0.26,0.01,1.92
Dalarna,2021-02-19,0.43,0.05,2.7
Gävleborg,2021-02-19,0.45,0.09,2.08
Gotland,2021-02-19,,,
Halland,2021-02-19,0.35,0.07,1.44
Jämtland,2021-02-19,0.23,0,4.24
Jönköping,2021-02-19,0.55,0.11,1.98
Kalmar,2021-02-19,0.23,0,2.24
Kronoberg,2021-02-19,0.43,0.05,2.65
Norrbotten,2021-02-19,0.71,0.16,3.43
Örebro,2021-02-19,0.35,0.04,2.35
Östergötland,2021-02-19,0.49,0.12,1.62
Skåne,2021-02-19,0.35,0.22,0.55
Södermanland,2021-02-19,0.59,0.09,2.53
Stockholm,2021-02-19,0.55,0.37,0.8
Uppsala,2021-02-19,0.4,0.16,0.92
Värmland,2021-02-19,0.38,0.07,1.68
Västerbotten,2021-02-19,0.37,0.04,1.93
Västernorrland,2021-02-19,0.64,0.09,2.74
Västmanland,2021-02-19,0.28,0.02,2.07
Västra Götaland,2021-02-19,0.51,0.31,0.82
Blekinge,2021-02-20,0.23,0.01,1.81
Dalarna,2021-02-20,0.49,0.07,2.76
Gävleborg,2021-02-20,0.56,0.1,2.29
Gotland,2021-02-20,,,
Halland,2021-02-20,0.3,0.05,1.36
Jämtland,2021-02-20,0.23,0,4.08
Jönköping,2021-02-20,0.58,0.11,2.06
Kalmar,2021-02-20,0.24,0.01,2.21
Kronoberg,2021-02-20,0.46,0.05,2.54
Norrbotten,2021-02-20,0.68,0.15,3.4
Örebro,2021-02-20,0.39,0.06,2.53
Östergötland,2021-02-20,0.42,0.09,1.51
Skåne,2021-02-20,0.35,0.23,0.56
Södermanland,2021-02-20,0.61,0.1,2.52
Stockholm,2021-02-20,0.56,0.38,0.81
Uppsala,2021-02-20,0.38,0.16,0.89
Värmland,2021-02-20,0.42,0.08,1.77
Västerbotten,2021-02-20,0.39,0.04,2.01
Västernorrland,2021-02-20,0.57,0.09,2.67
Västmanland,2021-02-20,0.27,0.02,2.09
Västra Götaland,2021-02-20,0.53,0.33,0.85
Blekinge,2021-02-21,0.25,0.01,1.86
Dalarna,2021-02-21,0.47,0.06,2.72
Gävleborg,2021-02-21,0.72,0.15,2.57
Gotland,2021-02-21,,,
Halland,2021-02-21,0.35,0.07,1.41
Jämtland,2021-02-21,0.25,0,4.11
Jönköping,2021-02-21,0.63,0.13,2.15
Kalmar,2021-02-21,0.21,0,2.18
Kronoberg,2021-02-21,0.41,0.03,2.45
Norrbotten,2021-02-21,0.59,0.11,3.23
Örebro,2021-02-21,0.33,0.04,2.46
Östergötland,2021-02-21,0.39,0.08,1.44
Skåne,2021-02-21,0.36,0.24,0.57
Södermanland,2021-02-21,0.61,0.11,2.51
Stockholm,2021-02-21,0.56,0.38,0.81
Uppsala,2021-02-21,0.38,0.16,0.88
Värmland,2021-02-21,0.35,0.06,1.7
Västerbotten,2021-02-21,0.37,0.03,2.01
Västernorrland,2021-02-21,0.57,0.09,2.71
Västmanland,2021-02-21,0.23,0.01,2.1
Västra Götaland,2021-02-21,0.52,0.32,0.84
Blekinge,2021-02-22,0.26,0.01,1.85
Dalarna,2021-02-22,0.46,0.07,2.49
Gävleborg,2021-02-22,0.55,0.1,2.27
Gotland,2021-02-22,,,
Halland,2021-02-22,0.31,0.06,1.34
Jämtland,2021-02-22,0.22,0,3.37
Jönköping,2021-02-22,0.47,0.1,1.85
Kalmar,2021-02-22,0.25,0.01,2.18
Kronoberg,2021-02-22,0.4,0.03,2.46
Norrbotten,2021-02-22,0.59,0.1,3.07
Örebro,2021-02-22,0.34,0.03,2.49
Östergötland,2021-02-22,0.33,0.06,1.33
Skåne,2021-02-22,0.37,0.24,0.58
Södermanland,2021-02-22,0.56,0.09,2.34
Stockholm,2021-02-22,0.49,0.33,0.72
Uppsala,2021-02-22,0.38,0.16,0.88
Värmland,2021-02-22,0.39,0.07,1.73
Västerbotten,2021-02-22,0.39,0.04,1.96
Västernorrland,2021-02-22,0.58,0.11,2.49
Västmanland,2021-02-22,0.26,0.02,1.94
Västra Götaland,2021-02-22,0.54,0.34,0.86
Blekinge,2021-02-23,0.26,0.01,1.97
Dalarna,2021-02-23,0.42,0.05,2.5
Gävleborg,2021-02-23,0.69,0.16,2.46
Gotland,2021-02-23,,,
Halland,2021-02-23,0.35,0.06,1.45
Jämtland,2021-02-23,0.22,0,3.27
Jönköping,2021-02-23,0.57,0.14,2.08
Kalmar,2021-02-23,0.28,0,2.65
Kronoberg,2021-02-23,0.55,0.06,2.76
Norrbotten,2021-02-23,0.68,0.12,3.45
Örebro,2021-02-23,0.32,0.02,2.73
Östergötland,2021-02-23,0.33,0.05,1.33
Skåne,2021-02-23,0.38,0.24,0.59
Södermanland,2021-02-23,0.57,0.09,2.42
Stockholm,2021-02-23,0.47,0.31,0.7
Uppsala,2021-02-23,0.42,0.18,0.96
Värmland,2021-02-23,0.37,0.05,1.76
Västerbotten,2021-02-23,0.39,0.04,2.01
Västernorrland,2021-02-23,0.55,0.08,2.66
Västmanland,2021-02-23,0.27,0.02,2.02
Västra Götaland,2021-02-23,0.52,0.32,0.84
Blekinge,2021-02-24,0.29,0.01,1.95
Dalarna,2021-02-24,0.36,0.03,2.48
Gävleborg,2021-02-24,0.84,0.19,2.7
Gotland,2021-02-24,,,
Halland,2021-02-24,0.38,0.08,1.44
Jämtland,2021-02-24,0.22,0,3.38
Jönköping,2021-02-24,0.56,0.14,2.05
Kalmar,2021-02-24,0.35,0.01,2.81
Kronoberg,2021-02-24,0.52,0.05,2.68
Norrbotten,2021-02-24,0.55,0.07,3.45
